UniProtKB	Symbol	Name	Anntation_qualifier	GO_class_direct	Annotation_extension	Contributor	Organism	Evidence	Envidence_with	PANTHER_family	Type	Isoform	Reference	Date
P0DPI2	GATD3A	"Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial"		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173		protein		GO_REF:0000039	20190112
Q9H611	PIF1	ATP-dependent DNA helicase PIF1		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR23274	protein		GO_REF:0000039	20190112
Q9NR30	DDX21	Nucleolar RNA helicase 2		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR24031	protein		GO_REF:0000039	20190112
Q9UNQ0	ABCG2	ATP-binding cassette sub-family G member 2		GO:0031966		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0171	PANTHER:PTHR19241	protein		GO_REF:0000039	20190112
P0DP23	CALM1	Calmodulin-1		GO:0031966		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP29|ensembl:ENSRNOP00000063822		protein		GO_REF:0000107	20190112
P0DP23	CALM1	Calmodulin-1		GO:0031966		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP30|ensembl:ENSRNOP00000063822		protein		GO_REF:0000107	20190112
P0DP23	CALM1	Calmodulin-1		GO:0031966		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP31|ensembl:ENSRNOP00000063822		protein		GO_REF:0000107	20190112
P0DP23	CALM1	Calmodulin-1		GO:0090151		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP29|ensembl:ENSRNOP00000063822		protein		GO_REF:0000107	20190112
P0DP23	CALM1	Calmodulin-1		GO:0090151		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP30|ensembl:ENSRNOP00000063822		protein		GO_REF:0000107	20190112
P0DP23	CALM1	Calmodulin-1		GO:0090151		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP31|ensembl:ENSRNOP00000063822		protein		GO_REF:0000107	20190112
Q8NEN9	PDZD8	PDZ domain-containing protein 8		GO:0005739		GOC	NCBITaxon:9606	IEA	GO:0051560	PANTHER:PTHR21519	protein		GO_REF:0000108	20190112
Q8NEJ0	DUSP18	Dual specificity protein phosphatase 18		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR46495	protein		GO_REF:0000039	20190112
Q96BI3	APH1A	Gamma-secretase subunit APH-1A		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:A0A0G2K6H8|ensembl:ENSRNOP00000073820	PANTHER:PTHR12889	protein		GO_REF:0000107	20190112
P15848	ARSB	Arylsulfatase B		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P50430|ensembl:ENSRNOP00000014860	PANTHER:PTHR10342	protein		GO_REF:0000107	20190112
O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR43272	protein		GO_REF:0000039	20190112
Q96FX8	PERP	p53 apoptosis effector related to PMP-22		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9JK95|ensembl:ENSMUSP00000019998	PANTHER:PTHR14399	protein		GO_REF:0000107	20190112
P17735	TAT	Tyrosine aminotransferase		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P04694|ensembl:ENSRNOP00000022721	PANTHER:PTHR45744	protein		GO_REF:0000107	20190112
Q92506	HSD17B8	Estradiol 17-beta-dehydrogenase 8		GO:0005740		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P50171|ensembl:ENSMUSP00000038069	PANTHER:PTHR42760	protein		GO_REF:0000107	20190112
Q9Y3A0	COQ4	"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial"		GO:0031314		UniProt	NCBITaxon:9606	IEA	UniRule:UR000375762	PANTHER:PTHR12922	protein		GO_REF:0000104	20190112
Q9UJ68	MSRA	Mitochondrial peptide methionine sulfoxide reductase		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR42799	protein		GO_REF:0000039	20190112
A0A3B3IRK5	A0A3B3IRK5	Uncharacterized protein		GO:0031966		InterPro	NCBITaxon:9606	IEA	InterPro:IPR002030		protein		GO_REF:0000002	20190112
Q96I59	NARS2	"Probable asparagine--tRNA ligase, mitochondrial"		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR22594	protein		GO_REF:0000039	20190112
P17612	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR24353	protein		GO_REF:0000039	20190112
Q9UBM1	PEMT	Phosphatidylethanolamine N-methyltransferase		GO:0031966		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0171	PANTHER:PTHR15458	protein		GO_REF:0000039	20190112
Q96I23	PYURF	"Protein preY, mitochondrial"		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR33505	protein		GO_REF:0000039	20190112
Q9H1U9	SLC25A51	Solute carrier family 25 member 51		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR46131	protein		GO_REF:0000039	20190112
P12074	COX6A1	"Cytochrome c oxidase subunit 6A1, mitochondrial"		GO:0005751		InterPro	NCBITaxon:9606	IEA	InterPro:IPR001349|InterPro:IPR018507	PANTHER:PTHR11504	protein		GO_REF:0000002	20190112
Q9H244	P2RY12	P2Y purinoceptor 12		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9EPX4|ensembl:ENSRNOP00000018600	PANTHER:PTHR24233	protein		GO_REF:0000107	20190112
P07384	CAPN1	Calpain-1 catalytic subunit		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35350|ensembl:ENSMUSP00000025891	PANTHER:PTHR10183	protein		GO_REF:0000107	20190112
Q9UBZ4	APEX2	DNA-(apurinic or apyrimidinic site) lyase 2		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR22748	protein		GO_REF:0000039	20190112
Q16539	MAPK14	Mitogen-activated protein kinase 14		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P47811|ensembl:ENSMUSP00000004990	PANTHER:PTHR24055	protein		GO_REF:0000107	20190112
Q16526	CRY1	Cryptochrome-1		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P97784|ensembl:ENSMUSP00000020227	PANTHER:PTHR11455	protein		GO_REF:0000107	20190112
Q9Y237	PIN4	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR45995	protein		GO_REF:0000039	20190112
Q96I36	COX14	Cytochrome c oxidase assembly protein COX14		GO:0031966		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0171	PANTHER:PTHR36684	protein		GO_REF:0000039	20190112
P30536	TSPO	Translocator protein		GO:0072656		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P50637|ensembl:ENSMUSP00000037039	PANTHER:PTHR10057	protein		GO_REF:0000107	20190112
P0DP25	CALM3	Calmodulin-3		GO:0031966		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP29|ensembl:ENSRNOP00000022603		protein		GO_REF:0000107	20190112
P0DP25	CALM3	Calmodulin-3		GO:0031966		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP30|ensembl:ENSRNOP00000022603		protein		GO_REF:0000107	20190112
P0DP25	CALM3	Calmodulin-3		GO:0031966		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP31|ensembl:ENSRNOP00000022603		protein		GO_REF:0000107	20190112
P0DP25	CALM3	Calmodulin-3		GO:0090151		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP29|ensembl:ENSRNOP00000022603		protein		GO_REF:0000107	20190112
P0DP25	CALM3	Calmodulin-3		GO:0090151		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP30|ensembl:ENSRNOP00000022603		protein		GO_REF:0000107	20190112
P0DP25	CALM3	Calmodulin-3		GO:0090151		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P0DP31|ensembl:ENSRNOP00000022603		protein		GO_REF:0000107	20190112
Q9BW72	HIGD2A	"HIG1 domain family member 2A, mitochondrial"		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR12297	protein		GO_REF:0000039	20190112
P40763	STAT3	Signal transducer and activator of transcription 3		GO:0005743		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P52631|ensembl:ENSRNOP00000026760	PANTHER:PTHR11801	protein		GO_REF:0000107	20190112
P40763	STAT3	Signal transducer and activator of transcription 3		GO:0046902		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P52631|ensembl:ENSRNOP00000026760	PANTHER:PTHR11801	protein		GO_REF:0000107	20190112
Q9BW92	TARS2	"Threonine--tRNA ligase, mitochondrial"		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR11451	protein		GO_REF:0000039	20190112
Q9UKU0	ACSL6	Long-chain-fatty-acid--CoA ligase 6		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR43272	protein		GO_REF:0000039	20190112
P15531	NME1	Nucleoside diphosphate kinase A		GO:0005741		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q05982|ensembl:ENSRNOP00000003658	PANTHER:PTHR11349	protein		GO_REF:0000107	20190112
Q9H2V7	SPNS1	Protein spinster homolog 1		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR23505	protein		GO_REF:0000039	20190112
Q9H061	TMEM126A	Transmembrane protein 126A		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR16296	protein		GO_REF:0000039	20190112
P00480	OTC	"Ornithine carbamoyltransferase, mitochondrial"		GO:0005743		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P00481|ensembl:ENSRNOP00000004686	PANTHER:PTHR45753	protein		GO_REF:0000107	20190112
Q5VUM1	SDHAF4	"Succinate dehydrogenase assembly factor 4, mitochondrial"		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR28524	protein		GO_REF:0000039	20190112
Q96BP2	CHCHD1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 1		GO:0005761		InterPro	NCBITaxon:9606	IEA	InterPro:IPR033620	PANTHER:PTHR31278	protein		GO_REF:0000002	20190112
P42575	CASP2	Caspase-2		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P55215|ensembl:ENSRNOP00000022672	PANTHER:PTHR10454	protein		GO_REF:0000107	20190112
Q96BR5	COA7	Cytochrome c oxidase assembly factor 7		GO:0005758		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0169	PANTHER:PTHR13891	protein		GO_REF:0000039	20190112
P07101	TH	Tyrosine 3-monooxygenase		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P04177|ensembl:ENSRNOP00000027682	PANTHER:PTHR11473	protein		GO_REF:0000107	20190112
P49281	SLC11A2	Natural resistance-associated macrophage protein 2		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR11706	protein		GO_REF:0000039	20190112
Q04917	YWHAH	14-3-3 protein eta		GO:0005739		GOC	NCBITaxon:9606	IEA	GO:1900740	PANTHER:PTHR18860	protein		GO_REF:0000108	20190112
P37840	SNCA	Alpha-synuclein		GO:0005741		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P37377|ensembl:ENSRNOP00000030609	PANTHER:PTHR13820	protein		GO_REF:0000107	20190112
P37840	SNCA	Alpha-synuclein		GO:0005758		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P37377|ensembl:ENSRNOP00000030609	PANTHER:PTHR13820	protein		GO_REF:0000107	20190112
P37840	SNCA	Alpha-synuclein		GO:0005759		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P37377|ensembl:ENSRNOP00000030609	PANTHER:PTHR13820	protein		GO_REF:0000107	20190112
P37840	SNCA	Alpha-synuclein		GO:0007006		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O55042|ensembl:ENSMUSP00000109907	PANTHER:PTHR13820	protein		GO_REF:0000107	20190112
P37840	SNCA	Alpha-synuclein		GO:0042775		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O55042|ensembl:ENSMUSP00000109907	PANTHER:PTHR13820	protein		GO_REF:0000107	20190112
O75616	ERAL1	"GTPase Era, mitochondrial"		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR42698	protein		GO_REF:0000039	20190112
Q96EY1	DNAJA3	"DnaJ homolog subfamily A member 3, mitochondrial"		GO:0006264		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q99M87|ensembl:ENSMUSP00000053842	PANTHER:PTHR44145	protein		GO_REF:0000107	20190112
O75460	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9EQY0|ensembl:ENSMUSP00000001059	PANTHER:PTHR13954	protein		GO_REF:0000107	20190112
Q8NHU6	TDRD7	Tudor domain-containing protein 7		GO:0005759		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9R1R4|ensembl:ENSRNOP00000068568	PANTHER:PTHR22948	protein		GO_REF:0000107	20190112
O95900	TRUB2	Mitochondrial mRNA pseudouridine synthase TRUB2		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR13195	protein		GO_REF:0000039	20190112
O75431	MTX2	Metaxin-2		GO:0001401		InterPro	NCBITaxon:9606	IEA	InterPro:IPR019564	PANTHER:PTHR12289	protein		GO_REF:0000002	20190112
P52789	HK2	Hexokinase-2		GO:0035795		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O08528|ensembl:ENSMUSP00000000642	PANTHER:PTHR19443	protein		GO_REF:0000107	20190112
Q9Y5J9	TIMM8B	Mitochondrial import inner membrane translocase subunit Tim8 B		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR19338	protein		GO_REF:0000039	20190112
Q5HYI7	MTX3	Metaxin-3		GO:0001401		InterPro	NCBITaxon:9606	IEA	InterPro:IPR017410|InterPro:IPR019564	PANTHER:PTHR12289	protein		GO_REF:0000002	20190112
P47900	P2RY1	P2Y purinoceptor 1		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P49651|ensembl:ENSRNOP00000019304	PANTHER:PTHR24231	protein		GO_REF:0000107	20190112
Q9UG56	PISD	"Phosphatidylserine decarboxylase proenzyme, mitochondrial"		GO:0031305		UniProt	NCBITaxon:9606	IEA	UniRule:UR000370960	PANTHER:PTHR10067	protein		GO_REF:0000104	20190112
Q96DC8	ECHDC3	"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial"		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR43602	protein		GO_REF:0000039	20190112
P54098	POLG	DNA polymerase subunit gamma-1		GO:0005760		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9QYV8|ensembl:ENSRNOP00000047900	PANTHER:PTHR10267	protein		GO_REF:0000107	20190112
Q9Y5R4	HEMK1	HemK methyltransferase family member 1		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR18895	protein		GO_REF:0000039	20190112
P30989	NTSR1	Neurotensin receptor type 1		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P20789|ensembl:ENSRNOP00000035997	PANTHER:PTHR24243	protein		GO_REF:0000107	20190112
Q9Y5P4	COL4A3BP	Collagen type IV alpha-3-binding protein		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9EQG9|ensembl:ENSMUSP00000076856	PANTHER:PTHR10219	protein		GO_REF:0000107	20190112
Q96E52	OMA1	"Metalloendopeptidase OMA1, mitochondrial"		GO:0042407		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9D8H7|ensembl:ENSMUSP00000045269	PANTHER:PTHR22726	protein		GO_REF:0000107	20190112
P42345	MTOR	Serine/threonine-protein kinase mTOR		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR11139	protein		GO_REF:0000039	20190112
Q96DU9	PABPC5	Polyadenylate-binding protein 5		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR24012	protein		GO_REF:0000039	20190112
Q9Y6C9	MTCH2	Mitochondrial carrier homolog 2		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR10780	protein		GO_REF:0000039	20190112
Q6EMK4	VASN	Vasorin		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9CZT5|ensembl:ENSMUSP00000045162	PANTHER:PTHR24373	protein		GO_REF:0000107	20190112
Q5JPH6	EARS2	"Probable glutamate--tRNA ligase, mitochondrial"		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR43311	protein		GO_REF:0000039	20190112
P49748	ACADVL	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR43884	protein		GO_REF:0000039	20190112
Q9NPG2	NGB	Neuroglobin		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR46458	protein		GO_REF:0000039	20190112
Q9P0S9	TMEM14C	Transmembrane protein 14C		GO:0005743		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9CQN6|ensembl:ENSMUSP00000021790	PANTHER:PTHR12668	protein		GO_REF:0000107	20190112
P59942	MCCD1	Mitochondrial coiled-coil domain protein 1		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR37877	protein		GO_REF:0000039	20190112
Q6IC98	GRAMD4	GRAM domain-containing protein 4		GO:0031966		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0171	PANTHER:PTHR37402	protein		GO_REF:0000039	20190112
Q9H3P7	ACBD3	Golgi resident protein GCP60		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR22973	protein		GO_REF:0000039	20190112
Q16775	HAGH	"Hydroxyacylglutathione hydrolase, mitochondrial"		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR11935	protein		GO_REF:0000039	20190112
Q9H3M7	TXNIP	Thioredoxin-interacting protein		GO:0005758		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q5M7W1|ensembl:ENSRNOP00000028793	PANTHER:PTHR11188	protein		GO_REF:0000107	20190112
Q9H3K2	GHITM	Growth hormone-inducible transmembrane protein		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR23291	protein		GO_REF:0000039	20190112
P49675	STAR	"Steroidogenic acute regulatory protein, mitochondrial"		GO:0030061		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P97826|ensembl:ENSRNOP00000020606	PANTHER:PTHR46489	protein		GO_REF:0000107	20190112
O75896	TUSC2	Tumor suppressor candidate 2		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9WVF8|ensembl:ENSMUSP00000010198	PANTHER:PTHR15453	protein		GO_REF:0000107	20190112
O75208	COQ9	"Ubiquinone biosynthesis protein COQ9, mitochondrial"		GO:0006120		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8K1Z0|ensembl:ENSMUSP00000034234	PANTHER:PTHR21427	protein		GO_REF:0000107	20190112
O75874	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O88844|ensembl:ENSMUSP00000095316	PANTHER:PTHR11822	protein		GO_REF:0000107	20190112
Q9ULD2	MTUS1	Microtubule-associated tumor suppressor 1		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR24200	protein		GO_REF:0000039	20190112
Q9ULD0	OGDHL	"2-oxoglutarate dehydrogenase-like, mitochondrial"		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR23152	protein		GO_REF:0000039	20190112
Q9ULC5	ACSL5	Long-chain-fatty-acid--CoA ligase 5		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR43272	protein		GO_REF:0000039	20190112
E9PI62	E9PI62	Mitochondrial GTPase 1		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR45782	protein		GO_REF:0000040	20190112
O75807	PPP1R15A	Protein phosphatase 1 regulatory subunit 15A		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR16489	protein		GO_REF:0000039	20190112
O43920	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5		GO:0005758		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0169	PANTHER:PTHR15224	protein		GO_REF:0000039	20190112
Q9H2U1	DHX36	ATP-dependent DNA/RNA helicase DHX36		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR18934	protein		GO_REF:0000039	20190112
O43464	HTRA2	"Serine protease HTRA2, mitochondrial"		GO:0031966		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0171	PANTHER:PTHR22939	protein		GO_REF:0000039	20190112
P22392	NME2	Nucleoside diphosphate kinase B		GO:0031966		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P19804|ensembl:ENSRNOP00000003611	PANTHER:PTHR11349	protein		GO_REF:0000107	20190112
Q9NX09	DDIT4	DNA damage-inducible transcript 4 protein		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR12478	protein		GO_REF:0000039	20190112
P00156	MT-CYB	Cytochrome b		GO:0031305		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P00158|ensembl:ENSMUSP00000081003	PANTHER:PTHR19271	protein		GO_REF:0000107	20190112
P00156	MT-CYB	Cytochrome b		GO:0031305		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P00159|ensembl:ENSRNOP00000047954	PANTHER:PTHR19271	protein		GO_REF:0000107	20190112
Q8NFF5	FLAD1	FAD synthase		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR23293	protein		GO_REF:0000039	20190112
Q9Y572	RIPK3	Receptor-interacting serine/threonine-protein kinase 3		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR23257	protein		GO_REF:0000039	20190112
Q14894	CRYM	Ketimine reductase mu-crystallin		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O54983|ensembl:ENSMUSP00000033198	PANTHER:PTHR13812	protein		GO_REF:0000107	20190112
